Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,3050,,235,,2810
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,4125,,1400,,2720
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,220,,45,,175
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,3080,,720,,2360
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,7950,,3525,,4425
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,34255,,15980,,18280
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,90,,20,,70
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1685,,325,,1365
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,32475,,15635,,16845
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,6535,,2890,,3645
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,2420,,865,,1560
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,1820,,790,,1035
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,120,,35,,80
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,1975,,1165,,810
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,200,,45,,160
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,8470,,5325,,3150
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,6490,,4400,,2095
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,255,,20,,230
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,1545,,795,,750
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,180,,110,,75
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,28145,,24190,,3950
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,1625,,1100,,520
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,12245,,9365,,2875
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,4540,,4135,,405
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,,0,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,4610,,4555,,55
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,3445,,3415,,30
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,1680,,1620,,60
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,1045,,575,,465
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,695,,400,,295
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,350,,175,,175
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,14075,,3890,,10185
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1395,,735,,660
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,12050,,2815,,9235
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,625,,340,,285
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,6055,,2700,,3355
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,4300,,1295,,3005
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,0,,10,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,30,,30,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,1055,,825,,230
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,665,,545,,115
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,0,,0,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,0,,0,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,151,163525,,78250,,85265
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,48520,,23885,,24640
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,7380,,1285,,6095
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,7380,,1285,,6095
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,4140,,1645,,2495
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,470,,335,,135
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,3670,,1310,,2360
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,6390,,1945,,4445
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,1225,,210,,1015
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,1390,,330,,1060
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,2085,,650,,1435
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,10,,0,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,360,,170,,195
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,350,,240,,110
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,690,,330,,360
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,285,,15,,270
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,16510,,5235,,11280
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,175,,30,,145
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,1150,,465,,690
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,2265,,125,,2140
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,3595,,1090,,2500
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,175,,35,,140
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,2510,,570,,1940
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,6645,,2925,,3725
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,29225,,13300,,15930
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,70,,15,,60
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,1355,,225,,1130
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,27800,,13060,,14745
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,5105,,2175,,2930
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,1870,,625,,1240
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,1380,,565,,810
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,100,,30,,70
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,1615,,925,,690
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,140,,35,,110
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,7650,,4745,,2910
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,6025,,4050,,1975
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,205,,20,,190
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,1260,,595,,670
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,150,,80,,75
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,21960,,18675,,3280
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,1410,,950,,455
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,10160,,7715,,2440
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,3540,,3245,,300
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0,,0,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,3325,,3285,,40
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,2475,,2460,,15
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,1055,,1020,,30
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,825,,425,,395
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,555,,290,,265
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,270,,135,,140
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,11370,,3040,,8325
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,1015,,530,,490
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,9850,,2245,,7610
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,500,,270,,230
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,4430,,1895,,2535
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,3105,,855,,2250
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,0,,0,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,20,,20,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,785,,605,,185
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,515,,415,,100
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,0,,0,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,0,,0,,10
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,157,246655,,119100,,127555
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,105610,,50765,,54845
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,141045,,68335,,72710
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,97265,,47275,,49990
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,92740,,45040,,47700
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,4520,,2240,,2290
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,43785,,21055,,22725
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,3790,,1985,,1805
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,3230,,1025,,2205
Location of study compared with province or territory of residence with countries outside Canada,      India,,3360,,1615,,1740
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,1440,,790,,650
Location of study compared with province or territory of residence with countries outside Canada,      China,162,3260,,1550,,1715
Location of study compared with province or territory of residence with countries outside Canada,      France,,175,,85,,90
Location of study compared with province or territory of residence with countries outside Canada,      Other,,28530,,14005,,14525
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,157,163525,,78250,,85270
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,48520,,23885,,24635
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,114995,,54365,,60630
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,80270,,38305,,41960
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,76515,,36445,,40075
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,3755,,1870,,1890
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,34730,,16060,,18670
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,3130,,1525,,1605
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,2785,,875,,1910
Location of study compared with province or territory of residence with countries outside Canada,      India,,2735,,1260,,1475
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,1000,,540,,455
Location of study compared with province or territory of residence with countries outside Canada,      China,162,2810,,1310,,1500
Location of study compared with province or territory of residence with countries outside Canada,      France,,155,,75,,80
Location of study compared with province or territory of residence with countries outside Canada,      Other,,22115,,10470,,11650
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,163,246655,,119100,,127555
Labour force status,  In the labour force,,169220,,87365,,81865
Labour force status,    Employed,,159440,,82555,,76885
Labour force status,    Unemployed,,9785,,4805,,4980
Labour force status,  Not in the labour force,,77430,,31735,,45695
Labour force status,Participation rate,,68.6,,73.4,,64.2
Labour force status,Employment rate,,64.6,,69.3,,60.3
Labour force status,Unemployment rate,,5.8,,5.5,,6.1
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,164,246660,,119100,,127555
Work activity during the reference year,  Did not work,165,73560,,30160,,43400
Work activity during the reference year,  Worked,,173095,,88940,,84160
Work activity during the reference year,    Worked full year; full time,166,94450,,53195,,41255
Work activity during the reference year,    Worked part year and/or part time,167,78645,,35745,,42905
Work activity during the reference year,Average weeks worked in reference year,,43.4,,44.3,,42.5
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,168,169225,,87360,,81860
Class of worker,  Class of worker - not applicable,169,3295,,1545,,1745
Class of worker,  All classes of workers,170,165930,,85810,,80115
Class of worker,    Employee,,141155,,68715,,72440
Class of worker,    Self-employed,171,24775,,17100,,7680
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,172,169225,,87360,,81860
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,169,3295,,1550,,1750
Occupation - National Occupational Classification (NOC) 2016,  All occupations,170,165930,,85815,,80120
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,,23080,,14820,,8265
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,,32085,,9995,,22095
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,,15195,,11265,,3930
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,,8315,,2255,,6065
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,,19060,,4920,,14140
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,,5005,,2240,,2765
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,,36555,,17170,,19385
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,,19060,,18210,,855
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,,1060,,930,,130
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,,6505,,4010,,2495
Industry - North American Industry Classification System (NAICS) 2012,Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,173,169225,,87365,,81860
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,169,3295,,1550,,1745
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,170,165930,,85815,,80120
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,,265,,175,,100
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,,190,,115,,70
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,,715,,490,,225
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,,15095,,12540,,2550
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,,16985,,10865,,6120
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,,8745,,5370,,3375
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,,19525,,9460,,10065
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,,6990,,5155,,1835
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,,3995,,2340,,1655
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,,12545,,5805,,6740
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,,5080,,2745,,2335
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,,17775,,9990,,7785
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,,455,,165,,290
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,,5975,,3255,,2715
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,,14300,,3645,,10655
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,,13470,,2760,,10710
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,,2920,,1515,,1405
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,,7770,,3585,,4180
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),,7420,,3125,,4290
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,,5720,,2725,,3000
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,174,159440,,82555,,76885
Place of work status,  Worked at home,,11960,,5795,,6160
Place of work status,  Worked outside Canada,,815,,540,,280
Place of work status,  No fixed workplace address,,19060,,13940,,5125
Place of work status,  Worked at usual place,,127595,,62275,,65320
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,,127595,,62280,,65320
Commuting destination,  Commute within census subdivision (CSD) of residence,,46780,,21465,,25310
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,13085,,6010,,7075
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,67570,,34720,,32860
Commuting destination,  Commute to a different province or territory,,165,,85,,75
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,175,146660,,76215,,70445
Main mode of commuting,  Car; truck; van - as a driver,,114695,,63545,,51150
Main mode of commuting,  Car; truck; van - as a passenger,,8800,,3075,,5725
Main mode of commuting,  Public transit,,18690,,7785,,10910
Main mode of commuting,  Walked,,2645,,965,,1680
Main mode of commuting,  Bicycle,,325,,220,,105
Main mode of commuting,  Other method,,1500,,630,,870
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,176,146660,,76215,,70450
Commuting duration,  Less than 15 minutes,,22175,,9425,,12745
Commuting duration,  15 to 29 minutes,,44665,,23265,,21405
Commuting duration,  30 to 44 minutes,,38550,,21120,,17430
Commuting duration,  45 to 59 minutes,,18105,,10000,,8110
Commuting duration,  60 minutes and over,,23165,,12405,,10760
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,177,146660,,76215,,70445
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,7385,,5940,,1445
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,22440,,14640,,7795
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,40775,,19940,,20835
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,36190,,16415,,19775
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,21645,,9795,,11850
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,18230,,9485,,8750
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,178,178835,,91525,,87315
Language used most often at work,  Single responses,,174915,,89875,,85040
Language used most often at work,    Official languages,,171745,,88345,,83405
Language used most often at work,      English,,171305,,88280,,83020
Language used most often at work,      French,,445,,60,,380
Language used most often at work,    Non-official languages,,3165,,1530,,1635
Language used most often at work,      Aboriginal languages,,0,,0,,0
Language used most often at work,        Algonquian languages,,0,,0,,0
Language used most often at work,          Blackfoot,,0,,0,,0
Language used most often at work,          Cree-Montagnais languages,,0,,0,,0
Language used most often at work,            Atikamekw,,0,,0,,0
Language used most often at work,            Montagnais (Innu),,0,,0,,0
Language used most often at work,            Moose Cree,,0,,0,,0
Language used most often at work,            Naskapi,,0,,0,,0
Language used most often at work,            Northern East Cree,,0,,0,,0
Language used most often at work,            Plains Cree,,0,,0,,0
Language used most often at work,            Southern East Cree,,0,,0,,0
Language used most often at work,            Swampy Cree,,0,,0,,0
Language used most often at work,            Woods Cree,,0,,0,,0
Language used most often at work,            Cree; n.o.s.,,0,,0,,0
Language used most often at work,          Eastern Algonquian languages,,0,,0,,0
Language used most often at work,            Malecite,,0,,0,,0
Language used most often at work,            Mi'kmaq,,0,,0,,0
Language used most often at work,          Ojibway-Potawatomi languages,,0,,0,,0
Language used most often at work,            Algonquin,,0,,0,,0
Language used most often at work,            Ojibway,,0,,0,,0
Language used most often at work,            Oji-Cree,,0,,0,,0
Language used most often at work,            Ottawa (Odawa),,0,,0,,0
Language used most often at work,          Algonquian languages; n.i.e.,,0,,0,,0
Language used most often at work,        Athabaskan languages,,0,,0,,0
Language used most often at work,          Northern Athabaskan languages,,0,,0,,0
Language used most often at work,            Babine (Wetsuwet'en),,0,,0,,0
Language used most often at work,            Beaver,,0,,0,,0
Language used most often at work,            Carrier,,0,,0,,0
Language used most often at work,            Chilcotin,,0,,0,,0
Language used most often at work,            Dene,,0,,0,,0
Language used most often at work,            Dogrib (Tlicho),,0,,0,,0
Language used most often at work,            Gwich'in,,0,,0,,0
Language used most often at work,            Sarsi (Sarcee),,0,,0,,0
Language used most often at work,            Sekani,,0,,0,,0
Language used most often at work,            Slavey-Hare languages,,0,,0,,0
Language used most often at work,              North Slavey (Hare),,0,,0,,0
Language used most often at work,              South Slavey,,0,,0,,0
Language used most often at work,              Slavey; n.o.s.,,0,,0,,0
Language used most often at work,            Tahltan languages,,0,,0,,0
Language used most often at work,              Kaska (Nahani),,0,,0,,0
Language used most often at work,              Tahltan,,0,,0,,0
Language used most often at work,            Tutchone languages,,0,,0,,0
Language used most often at work,              Northern Tutchone,,0,,0,,0
Language used most often at work,              Southern Tutchone,,0,,0,,0
Language used most often at work,          Athabaskan languages; n.i.e.,,0,,0,,0
Language used most often at work,        Haida,,0,,0,,0
Language used most often at work,        Inuit languages,,0,,0,,0
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,,0,,0
Language used most often at work,          Inuktitut,,0,,0,,0
Language used most often at work,          Inuit languages; n.i.e.,,0,,0,,0
Language used most often at work,        Iroquoian languages,,0,,0,,0
Language used most often at work,          Cayuga,,0,,0,,0
Language used most often at work,          Mohawk,,0,,0,,0
Language used most often at work,          Oneida,,0,,0,,0
Language used most often at work,          Iroquoian languages; n.i.e.,,0,,0,,0
Language used most often at work,        Kutenai,,0,,0,,0
Language used most often at work,        Michif,,0,,0,,0
Language used most often at work,        Salish languages,,0,,0,,0
Language used most often at work,          Comox,,0,,0,,0
Language used most often at work,          Halkomelem,,0,,0,,0
Language used most often at work,          Lillooet,,0,,0,,0
Language used most often at work,          Okanagan,,0,,0,,0
Language used most often at work,          Shuswap (Secwepemctsin),,0,,0,,0
Language used most often at work,          Squamish,,0,,0,,0
Language used most often at work,          Straits,,0,,0,,0
Language used most often at work,          Thompson (Ntlakapamux),,0,,0,,0
Language used most often at work,          Salish languages; n.i.e.,,0,,0,,0
Language used most often at work,        Siouan languages,,0,,0,,0
Language used most often at work,          Dakota,,0,,0,,0
Language used most often at work,          Stoney,,0,,0,,0
Language used most often at work,          Siouan languages; n.i.e.,,0,,0,,0
Language used most often at work,        Tlingit,,0,,0,,0
Language used most often at work,        Tsimshian languages,,0,,0,,0
Language used most often at work,          Gitxsan (Gitksan),,0,,0,,0
Language used most often at work,          Nisga'a,,0,,0,,0
Language used most often at work,          Tsimshian,,0,,0,,0
Language used most often at work,        Wakashan languages,,0,,0,,0
Language used most often at work,          Haisla,,0,,0,,0
Language used most often at work,          Heiltsuk,,0,,0,,0
Language used most often at work,          Kwakiutl (Kwak'wala),,0,,0,,0
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,,0,,0
Language used most often at work,          Wakashan languages; n.i.e.,,0,,0,,0
Language used most often at work,        Aboriginal languages; n.o.s.,,0,,0,,0
Language used most often at work,      Non-Aboriginal languages,,3170,,1535,,1640
Language used most often at work,        Afro-Asiatic languages,,175,,50,,120
Language used most often at work,          Berber languages,,0,,0,,0
Language used most often at work,            Kabyle,,0,,0,,0
Language used most often at work,            Berber languages; n.i.e.,,0,,0,,0
Language used most often at work,          Cushitic languages,,0,,0,,0
Language used most often at work,            Bilen,,0,,0,,0
Language used most often at work,            Oromo,,0,,0,,0
Language used most often at work,            Somali,,0,,0,,0
Language used most often at work,            Cushitic languages; n.i.e.,,0,,0,,0
Language used most often at work,          Semitic languages,,170,,55,,120
Language used most often at work,            Amharic,,0,,0,,0
Language used most often at work,            Arabic,,40,,25,,15
Language used most often at work,            Assyrian Neo-Aramaic,,10,,0,,10
Language used most often at work,            Chaldean Neo-Aramaic,,0,,0,,0
Language used most often at work,            Harari,,0,,0,,0
Language used most often at work,            Hebrew,,130,,25,,100
Language used most often at work,            Maltese,,0,,0,,0
Language used most often at work,            Tigrigna,,0,,0,,0
Language used most often at work,            Semitic languages; n.i.e.,,0,,0,,0
Language used most often at work,          Afro-Asiatic languages; n.i.e.,,0,,0,,0
Language used most often at work,        Austro-Asiatic languages,,160,,60,,100
Language used most often at work,          Khmer (Cambodian),,0,,0,,0
Language used most often at work,          Vietnamese,,160,,60,,105
Language used most often at work,          Austro-Asiatic languages; n.i.e,,0,,0,,0
Language used most often at work,        Austronesian languages,,50,,10,,40
Language used most often at work,          Bikol,,0,,0,,0
Language used most often at work,          Cebuano,,0,,0,,0
Language used most often at work,          Fijian,,0,,0,,0
Language used most often at work,          Hiligaynon,,0,,0,,0
Language used most often at work,          Ilocano,,10,,10,,0
Language used most often at work,          Malagasy,,0,,0,,0
Language used most often at work,          Malay,,0,,0,,0
Language used most often at work,          Pampangan (Kapampangan; Pampango),,0,,0,,0
Language used most often at work,          Pangasinan,,0,,0,,0
Language used most often at work,          Tagalog (Pilipino; Filipino),,40,,10,,35
Language used most often at work,          Waray-Waray,,0,,0,,0
Language used most often at work,          Austronesian languages; n.i.e.,,0,,0,,0
Language used most often at work,        Creole languages,,0,,0,,0
Language used most often at work,          Haitian Creole,,0,,0,,0
Language used most often at work,          Creole; n.o.s.,,0,,0,,0
Language used most often at work,          Creole languages; n.i.e.,,0,,0,,0
Language used most often at work,        Dravidian languages,,40,,30,,10
Language used most often at work,          Kannada,,0,,0,,0
Language used most often at work,          Malayalam,,0,,0,,0
Language used most often at work,          Tamil,,40,,35,,10
Language used most often at work,          Telugu,,0,,0,,0
Language used most often at work,          Dravidian languages; n.i.e.,,0,,0,,0
Language used most often at work,        Hmong-Mien languages,,0,,0,,0
